headword,pronunciation,Pron
cachurero,k a t ʃ u ˈ ɾ e ɾ o,k a t ʃ u ɾ E ɾ o
cachuzo,k a ˈ t ʃ u s o,k a t ʃ U s o
cachá,k a ˈ t ʃ a,k a t ʃ A
cachái,k a ˈ t ʃ a j,k a t ʃ A j
cacica,k a ˈ θ i k a,k a θ I k a
cacillos,k a ˈ s i ʎ o s,k a s I ʎ o s
cacillos,k a ˈ θ i ʝ o s,k a θ I ʝ o s
cacillos,k a ˈ s i ʝ o s,k a s I ʝ o s
cacillos,k a ˈ θ i ʎ o s,k a θ I ʎ o s
cacique,k a ˈ θ i k e,k a θ I k e
cacle,ˈ k a k l e,k A k l e
caco,ˈ k a k o,k A k o
cacofonía,k a k o f o ˈ n i a,k a k o f o n I a
cacografía,k a k o g ɾ a ˈ f i a,k a k o g ɾ a f I a
cacolalia,c a c o l a l i a,c a c o l a l i a
cacología,k a k o l o ˈ x i a,k a k o l o x I a
cacorro,k a ˈ k o r o,k a k O r o
cada,ˈ k a ð a,k A ð a
cadalso,k a ˈ ð a l s o,k a ð A l s o
cadaverina,k a ð a β e ˈ ɾ i n a,k a ð a β e ɾ I n a
cade,ˈ k a ð e,k A ð e
cadena,k a ˈ ð e n a,k a ð E n a
cadenamiento,k a ð e n a m j e n̪ t o,k a ð e n a m j e n̪ t o
cadenilla,,
cadenillas,,
cadenote,k a ð e ˈ n o t e,k a ð e n O t e
cadenotes,k a ð e ˈ n o t e s,k a ð e n O t e s
cadera,k a ˈ ð e ɾ a,k a ð E ɾ a
caderas,k a ˈ ð e ɾ a s,k a ð E ɾ a s
cadete,k a ˈ ð e t e,k a ð E t e
cadetes,k a ˈ ð e t e s,k a ð E t e s
caducando,ˈ a n̪ d o,A n̪ d o
caducar,k a ð u ˈ k a ɾ,k a ð u k A ɾ
caducifolio,k a ð u θ i ˈ f o l j o,k a ð u θ i f O l j o
cadáver,k a ˈ ð a β e ɾ,k a ð A β e ɾ
caed,k a ˈ e ð,k a E ð
caeos,k a ˈ e o s,k a E o s
caerse,k a ˈ e ɾ s e,k a E ɾ s e
cafetera,k a f e ˈ t e ɾ a,k a f e t E ɾ a
cafetería,k a f e t e ˈ ɾ i a,k a f e t e ɾ I a
cafeterías,k a f e t e ˈ ɾ i a s,k a f e t e ɾ I a s
cafeto,k a ˈ f e t o,k a f E t o
cafeína,k a f e ˈ i n a,k a f e I n a
cafiche,k a ˈ f i t ʃ e,k a f I t ʃ e
caficheando,ˈ a n̪ d o,A n̪ d o
caficho,k a ˈ f i t ʃ o,k a f I t ʃ o
cafiolo,k a ˈ f j o l o,k a f j O l o
cafishio,k a ˈ f i ʃ j o,k a f I ʃ j o
cafre,ˈ k a f ɾ e,k A f ɾ e
caftán,k a f ˈ t a n,k a f t A n
café,k a ˈ f e,k a f E
cagando,ˈ a n̪ d o,A n̪ d o
cagar,k a ˈ ɰ a ɾ,k a ɰ A ɾ
cagarla,k a ˈ ɰ a ɾ l a,k a ɰ A ɾ l a
cagaste,k a ˈ ɰ a s t e,k a ɰ A s t e
cagatintas,k a ɣ a ˈ t i n̪ t a s,k a ɣ a t I n̪ t a s
cagazo,k a ˈ ɰ a s o,k a ɰ A s o
cagón,k a ˈ ɣ o̞ n,k a ɣ O̞ n
cahuel,k a ˈ w e l,k a w E l
cahuineando,ˈ a n̪ d o,A n̪ d o
cahuinear,k a w i n e ˈ a ɾ,k a w i n e A ɾ
cahuinero,k a w i ˈ n e ɾ o,k a w i n E ɾ o
cahuín,k a ˈ w i n,k a w I n
caigua,ˈ k a j ɰ w a,k A j ɰ w a
caigáis,k a j ˈ ɣ a j s,k a j ɣ A j s
caihua,ˈ k a j w a,k A j w a
caillo,ˈ k a j λ o,k A j λ o
caimanes,k a j ˈ m a n e s,k a j m A n e s
caimanesa,k a j m a ˈ n e s a,k a j m a n E s a
caimanesas,k a j m a ˈ n e s a s,k a j m a n E s a s
caimaneses,k a j m a ˈ n e s e s,k a j m a n E s e s
caimán,k a j ˈ m a n,k a j m A n
caiquén,k a j ˈ k e n,k a j k E n
cairelar,k a j ɾ e ˈ l a ɾ,k a j ɾ e l A ɾ
caita,ˈ k a j t a,k A j t a
caite,ˈ k a j t e,k A j t e
caituy,k a j ˈ t u j,k a j t U j
caitúe,k a j ˈ t u e,k a j t U e
caja,ˈ k a x a,k A x a
cajamundo,k a x a ˈ m u n d o,k a x a m U n d o
cajas,ˈ k a x a s,k A x a s
cajera,k a ˈ x e ɾ a,k a x E ɾ a
cajero,k a ˈ x e ɾ o,k a x E ɾ o
cajeta,k a ˈ x e t a,k a x E t a
cajoncillo,,
cajoncillos,,
cajoncito,,
cajoncitos,,
cajones,k a ˈ x o n e s,k a x O n e s
cajón,k a ˈ x o n,k a x O n
cal,ˈ k a l,k A l
calabacín,k a l a ˈ β a θ i n,k a l a β A θ i n
calabacín,k a l a ˈ β a s i n,k a l a β A s i n
calabaza,k a l a ˈ β a θ a,k a l a β A θ a
calabazas,k a l a ˈ β a s a s,k a l a β A s a s
calabazas,k a l a ˈ β a θ a s,k a l a β A θ a s
calabazate,k a l a β a ˈ s a t e,k a l a β a s A t e
calabazate,k a l a β a ˈ θ a t e,k a l a β a θ A t e
calabobos,k a l a ˈ β o β o s,k a l a β O β o s
calabozaje,k a l a β o ˈ θ a x e,k a l a β o θ A x e
calabozaje,k a l a β o ˈ s a x e,k a l a β o s A x e
calabresa,k a l a ˈ β ɾ e s a,k a l a β ɾ E s a
calabresas,k a l a ˈ β ɾ e s a s,k a l a β ɾ E s a s
calabreses,k a l a ˈ β ɾ e s e s,k a l a β ɾ E s e s
calabrotando,ˈ a n̪ d o,A n̪ d o
calabrotar,k a l a β ɾ o ˈ t a ɾ,k a l a β ɾ o t A ɾ
calabrote,k a l a ˈ β ɾ o t e,k a l a β ɾ O t e
calabrés,k a l a ˈ β ɾ e s,k a l a β ɾ E s
caladero,k a l a ˈ ð e ɾ o,k a l a ð E ɾ o
calafate,k a l a ˈ f a t e,k a l a f A t e
calafateando,ˈ a n̪ d o,A n̪ d o
calafatear,k a l a f a t e ˈ a ɾ,k a l a f a t e A ɾ
calamar,k a l a ˈ m a ɾ,k a l a m A ɾ
calambre,k a ˈ l a m b ɾ e,k a l A m b ɾ e
calambur,k a l a m ˈ b u ɾ,k a l a m b U ɾ
calambures,k a l a m ˈ b u ɾ e s,k a l a m b U ɾ e s
calameño,k a l a ˈ m e ɲ o,k a l a m E ɲ o
calamidad,k a l a m i ˈ ð a ð,k a l a m i ð A ð
calamina,k a l a ˈ m i n a,k a l a m I n a
calamitosamente,k a l a m i ˈ t o s a ˈ m e n̪ t e,k a l a m i t O s a m E n̪ t e
calamorro,k a l a ˈ m o r o,k a l a m O r o
calamorrásemos,k a l a m o ˈ r a s e m o s,k a l a m o r A s e m o s
calando,ˈ a n̪ d o,A n̪ d o
calandria,k a l a n ˈ d ɾ i a,k a l a n d ɾ I a
calarse,k a ˈ l a ɾ s e,k a l A ɾ s e
calato,k a ˈ l a t o,k a l A t o
calatravo,k a l a ˈ t ɾ a β o,k a l a t ɾ A β o
calcamonía,k a l k a m o ˈ n i a,k a l k a m o n I a
calcamonías,k a l k a m o ˈ n i a s,k a l k a m o n I a s
calcando,ˈ a n̪ d o,A n̪ d o
calcar,k a l ˈ k a ɾ,k a l k A ɾ
calcare,k a l ˈ k a ɾ e,k a l k A ɾ e
calceta,k a l ˈ θ e t a,k a l θ E t a
calcetín,k a l s e ˈ t i n,k a l s e t I n
calcetín,k a l θ e ˈ t i n,k a l θ e t I n
calchento,k a l ˈ t ʃ e n t o,k a l t ʃ E n t o
calcificando,ˈ a n̪ d o,A n̪ d o
calcificar,k a l̥ θ i f i ˈ k a ɾ,k a l̥ θ i f i k A ɾ
calcinando,ˈ a n̪ d o,A n̪ d o
calcinar,k a l s i ˈ n a ɾ,k a l s i n A ɾ
calcinar,k a l θ i ˈ n a ɾ,k a l θ i n A ɾ
calcio,ˈ k a l θ j o,k A l θ j o
calcio,ˈ k a l s j o,k A l s j o
calco,ˈ k a l k o,k A l k o
calcografiar,k a l k o ɣ ɾ a ˈ f j a ɾ,k a l k o ɣ ɾ a f j A ɾ
calcografías,k a l k o ɣ ɾ a ˈ f i a s,k a l k o ɣ ɾ a f I a s
calcográfico,k a l k o ˈ ɣ ɾ a f i k o,k a l k o ɣ ɾ A f i k o
calculadora,k a l k u l a ˈ ð o ɾ a,k a l k u l a ð O ɾ a
calculando,ˈ a n̪ d o,A n̪ d o
calcular,k a l k u ˈ l a ɾ,k a l k u l A ɾ
calculo,k a l ˈ k u l o,k a l k U l o
calcáneo,k a l ˈ k a n e o,k a l k A n e o
calcárea,k a l ˈ k a ɾ e a,k a l k A ɾ e a
calcáreas,k a l ˈ k a ɾ e a s,k a l k A ɾ e a s
calcáreo,k a l ˈ k a ɾ e o,k a l k A ɾ e o
calcáreos,k a l ˈ k a ɾ e o s,k a l k A ɾ e o s
calcógrafa,k a l ˈ k o ɣ ɾ a f a,k a l k O ɣ ɾ a f a
calcógrafas,k a l ˈ k o ɣ ɾ a f a s,k a l k O ɣ ɾ a f a s
calcógrafo,k a l ˈ k o ɣ ɾ a f o,k a l k O ɣ ɾ a f o
calcógrafos,k a l ˈ k o ɣ ɾ a f o s,k a l k O ɣ ɾ a f o s
calda,ˈ k a l d a,k A l d a
caldeando,ˈ a n̪ d o,A n̪ d o
caldense,k a l ˈ d e n s e,k a l d E n s e
caldenses,k a l ˈ d e n s e s,k a l d E n s e s
caldera,k a l ˈ d e ɾ a,k a l d E ɾ a
calderada,k a l d e ˈ ɾ a ð a,k a l d e ɾ A ð a
calderas,k a l ˈ d e ɾ a s,k a l d E ɾ a s
calderero,k a l d e ˈ ɾ e ɾ o,k a l d e ɾ E ɾ o
calderería,k a l d e ɾ e ˈ ɾ i a,k a l d e ɾ e ɾ I a
caldereta,k a l d e ˈ ɾ e t a,k a l d e ɾ E t a
calderilla,k a l d e ˈ ɾ i ʎ a,k a l d e ɾ I ʎ a
caldero,k a l ˈ d e ɾ o,k a l d E ɾ o
calderos,k a l ˈ d e ɾ o s,k a l d E ɾ o s
calderón,k a l d e ˈ ɾ o n,k a l d e ɾ O n
caldo,ˈ k a l ð o,k A l ð o
caleciendo,ˈ j e n̪ d o,j E n̪ d o
calefacción,k a l e f a k ˈ θ j o n,k a l e f a k θ j O n
calefacción,k a l e f a k ˈ s j o n,k a l e f a k s j O n
calefactor,k a l e f a k ˈ t o ɾ,k a l e f a k t O ɾ
calefactora,k a l e f a k ˈ t o ɾ a,k a l e f a k t O ɾ a
calefactoras,k a l e f a k ˈ t o ɾ a s,k a l e f a k t O ɾ a s
calefactores,k a l e f a k ˈ t o ɾ e s,k a l e f a k t O ɾ e s
calendario,k a l e n̪ ˈ d a ɾ j o,k a l e n̪ d A ɾ j o
calendarios,k a l e n ˈ d a ɾ j o s,k a l e n d A ɾ j o s
calentador,k a l e n t a ˈ ð o ɾ,k a l e n t a ð O ɾ
calentamiento,k a l e n t a ˈ m j e n t o,k a l e n t a m j E n t o
calentando,ˈ a n̪ d o,A n̪ d o
calentito,k a l e n ˈ t i t o,k a l e n t I t o
calepino,k a l e ˈ p i n o,k a l e p I n o
calepinos,k a l e ˈ p i n o s,k a l e p I n o s
calería,k a l e ˈ ɾ i a,k a l e ɾ I a
calesita,k a l e ˈ s i t a,k a l e s I t a
caleta,k a ˈ l e t a,k a l E t a
caletas,k a ˈ l e t a s,k a l E t a s
caleteros,k a l e ˈ t e ɾ o s,k a l e t E ɾ o s
calibración,k a l i β ɾ a ˈ s j o n,k a l i β ɾ a s j O n
calibración,k a l i β ɾ a ˈ θ j o n,k a l i β ɾ a θ j O n
calicanto,k a l i ˈ k a n t o,k a l i k A n t o
calichal,k a l i ˈ t ʃ a l,k a l i t ʃ A l
caliche,k a ˈ l i t ʃ e,k a l I t ʃ e
caliciforme,k a l s i ˈ f o ɾ m e,k a l s i f O ɾ m e
caliciforme,k a l θ i ˈ f o ɾ m e,k a l θ i f O ɾ m e
calidad,k a l i ˈ ð a ð,k a l i ð A ð
calientapollas,k a ˌ l j e n̪ t a ˈ p o ʎ a s,k a ˌ l j e n̪ t a p O ʎ a s
califa,k a ˈ l i f a,k a l I f a
califas,k a ˈ l i f a s,k a l I f a s
califato,k a l i ˈ f a t o,k a l i f A t o
calificando,ˈ a n̪ d o,A n̪ d o
calificar,k a l i f i ˈ k a ɾ,k a l i f i k A ɾ
calificativo,k a l i f i k a ˈ t i β o,k a l i f i k a t I β o
california,k a l i ˈ f o ɾ n j a,k a l i f O ɾ n j a
californiana,k a l i f o ɾ ˈ n j a n a,k a l i f o ɾ n j A n a
californianas,k a l i f o ɾ ˈ n j a n a s,k a l i f o ɾ n j A n a s
californiano,k a l i f o ɾ ˈ n j a n o,k a l i f o ɾ n j A n o
californias,k a l i ˈ f o ɾ n j a s,k a l i f O ɾ n j a s
californio,k a l i ˈ f o ɾ n j o,k a l i f O ɾ n j o
califórnico,k a l i ˈ f o ɾ n i k o,k a l i f O ɾ n i k o
caliginefobia,k a l i x i n e ˈ f o β j a,k a l i x i n e f O β j a
caligrafiar,k a l i ɣ ɾ a ˈ f j a ɾ,k a l i ɣ ɾ a f j A ɾ
caligrafías,k a l i ɣ ɾ a ˈ f i a s,k a l i ɣ ɾ a f I a s
caligrama,k a l i ˈ g ɾ a m a,k a l i g ɾ A m a
caligráfico,ˌ k a l i ˈ ɣ ɾ a f i k o,ˌ k a l i ɣ ɾ A f i k o
calilla,k a ˈ l i ʎ a,k a l I ʎ a
calilla,k a ˈ l i ʝ a,k a l I ʝ a
calima,k a ˈ l i m a,k a l I m a
calimba,k a ˈ l i m b a,k a l I m b a
calimocho,k a l i ˈ m o t ʃ o,k a l i m O t ʃ o
calina,k a ˈ l i n a,k a l I n a
calinoso,k a l i ˈ n o s o,k a l i n O s o
caliptra,k a ˈ l i p t ɾ a,k a l I p t ɾ a
calistreando,ˈ a n̪ d o,A n̪ d o
calistrear,k a l i s t ɾ e ˈ a ɾ,k a l i s t ɾ e A ɾ
callampa,ˈ k a ʎ a m p a,k A ʎ a m p a
callampa,ˈ k a ʝ a m p a,k A ʝ a m p a
callampero,k a ʎ a m ˈ p e ɾ o,k a ʎ a m p E ɾ o
callana,k a ˈ ʝ a n a,k a ʝ A n a
callana,k a ˈ ʎ a n a,k a ʎ A n a
callando,k a ˈ ʎ a n̪ d o,k a ʎ A n̪ d o
callando,k a ˈ ʝ a n̪ d o,k a ʝ A n̪ d o
callantar,k a ʎ a n̪ ˈ t a ɾ,k a ʎ a n̪ t A ɾ
callantar,k a ʝ a n̪ ˈ t a ɾ,k a ʝ a n̪ t A ɾ
callanudo,k a ʝ a ˈ n u ð o,k a ʝ a n U ð o
callanudo,k a ʎ a ˈ n u ð o,k a ʎ a n U ð o
callar,k a ˈ ʝ a ɾ,k a ʝ A ɾ
callar,k a ˈ ʎ a ɾ,k a ʎ A ɾ
callarse,k a ˈ ʝ a ɾ s e,k a ʝ A ɾ s e
callarse,k a ˈ ʎ a ɾ s e,k a ʎ A ɾ s e
calle,ˈ k a ʎ e,k A ʎ e
calle,ˈ k a ʝ e,k A ʝ e
calleando,ˈ a n̪ d o,A n̪ d o
callejuela,k a ʝ e ˈ x w e l a,k a ʝ e x w E l a
callejón,k a ʝ e ˈ x o n,k a ʝ e x O n
callentar,ˈ k a ʎ e n̪ t a ɾ,k A ʎ e n̪ t a ɾ
callentar,ˈ k a ʝ e n̪ t a ɾ,k A ʝ e n̪ t a ɾ
calles,ˈ k a ʝ e s,k A ʝ e s
calles,ˈ k a ʎ e s,k A ʎ e s
callialto,k a ˈ ʝ j a l t o,k a ʝ j A l t o
callialto,k a ˈ ʎ j a l t o,k a ʎ j A l t o
callosidad,ˈ k a ʎ o s i ˈ ð a ð,k A ʎ o s i ð A ð
callosidad,ˈ k a ʝ o s i ˈ ð a ð,k A ʝ o s i ð A ð
callosidades,ˈ k a ʝ o s i ˈ ð a ð e s,k A ʝ o s i ð A ð e s
callosidades,ˈ k a ʎ o s i ˈ ð a ð e s,k A ʎ o s i ð A ð e s
calluzo,k a ˈ ʎ u s o,k a ʎ U s o
callándose,k a ˈ ʝ a n̪ d o s e,k a ʝ A n̪ d o s e
callándose,k a ˈ ʎ a n̪ d o s e,k a ʎ A n̪ d o s e
calló,k a ˈ ʝ o,k a ʝ O
calló,k a ˈ ʎ o,k a ʎ O
calma,ˈ k a l m a,k A l m a
calmando,ˈ a n̪ d o,A n̪ d o
calmar,k a l ˈ m a ɾ,k a l m A ɾ
calmarse,k a l ˈ m a ɾ s e,k a l m A ɾ s e
calmería,k a l m e ˈ ɾ i a,k a l m e ɾ I a
calmuca,k a l ˈ m u k a,k a l m U k a
calmucas,k a l ˈ m u k a s,k a l m U k a s
calofriarse,k a l o ˈ f ɾ j a ɾ s e,k a l o f ɾ j A ɾ s e
calor,k a ˈ l o ɾ,k a l O ɾ
calores,k a ˈ l o ɾ e s,k a l O ɾ e s
calorosamente,k a l o ˈ ɾ o s a ˈ m e n t e,k a l o ɾ O s a m E n t e
calorosamente,k a l o ˈ ɾ o θ a ˈ m e n t e,k a l o ɾ O θ a m E n t e
calorro,k a ˈ l o r o,k a l O r o
calorímetro,k a l o ˈ ɾ i m e t ɾ o,k a l o ɾ I m e t ɾ o
calosfriarse,k a l o s ˈ f ɾ j a ɾ s e,k a l o s f ɾ j A ɾ s e
calosfriases,k a l o s ˈ f ɾ j a s e s,k a l o s f ɾ j A s e s
calotearía,k a l o t e a ˈ ɾ i a,k a l o t e a ɾ I a
calufo,k a ˈ l u f o,k a l U f o
calumnia,k a ˈ l u m n j a,k a l U m n j a
calumniador,k a l u m n j a ˈ ð o ɾ,k a l u m n j a ð O ɾ
calumnias,k a ˈ l u m n j a s,k a l U m n j a s
calumniosamente,k a l u m ˈ n j o s a ˈ m e n t̪ e,k a l u m n j O s a m E n t̪ e
calumniosamente,k a l u m ˈ n j o θ a ˈ m e n t̪ e,k a l u m n j O θ a m E n t̪ e
calurosamente,k a l u ˈ ɾ o s a ˈ m e n̪ t e,k a l u ɾ O s a m E n̪ t e
calurosamente,k a l u ˈ ɾ o θ a ˈ m e n̪ t e,k a l u ɾ O θ a m E n̪ t e
calurosísima,k a l u ɾ o ˈ s i s i m a,k a l u ɾ o s I s i m a
calurosísimas,k a l u ɾ o ˈ s i s i m a s,k a l u ɾ o s I s i m a s
calurosísimo,k a l u ɾ o ˈ s i s i m o,k a l u ɾ o s I s i m o
calurosísimos,k a l u ɾ o ˈ s i s i m o s,k a l u ɾ o s I s i m o s
calvero,k a l ˈ β e ɾ o,k a l β E ɾ o
calvinismo,k a l β i ˈ n i s m o,k a l β i n I s m o
calvinista,k a l β i ˈ n i s t a,k a l β i n I s t a
calzando,ˈ a n̪ d o,A n̪ d o
calzoncillo,k a l θ o n ˈ θ i ʝ o,k a l θ o n θ I ʝ o
calzoncillo,k a l θ o n ˈ θ i ʎ o,k a l θ o n θ I ʎ o
calzoncillo,k a l s o n ˈ s i ʝ o,k a l s o n s I ʝ o
calzoncillo,k a l s o n ˈ s i ʎ o,k a l s o n s I ʎ o
calzoncillos,k a l s o n ˈ s i ʎ o s,k a l s o n s I ʎ o s
calzoncillos,k a l θ o n ˈ θ i ʝ o s,k a l θ o n θ I ʝ o s
calzoncillos,k a l s o n ˈ s i ʝ o s,k a l s o n s I ʝ o s
calzoncillos,k a l θ o n ˈ θ i ʎ o s,k a l θ o n θ I ʎ o s
calzone,k a l ˈ t s o n e,k a l t s O n e
calzón,k a l ˈ s o n,k a l s O n
calé,k a ˈ l e,k a l E
calículo,k a ˈ l i k u l o,k a l I k u l o
calígrafa,k a ˈ l i ɣ ɾ a f a,k a l I ɣ ɾ a f a
calígrafas,k a ˈ l i ɣ ɾ a f a s,k a l I ɣ ɾ a f a s
calígrafo,k a ˈ l i ɣ ɾ a f o,k a l I ɣ ɾ a f o
calígrafos,k a ˈ l i ɣ ɾ a f o s,k a l I ɣ ɾ a f o s
caló,k a ˈ l o,k a l O
camada,k a ˈ m a ð a,k a m A ð a
camal,k a ˈ m a l,k a m A l
camaldulense,k a m a l ð u ˈ l e n s e,k a m a l ð u l E n s e
camaldulenses,k a m a l ð u ˈ l e n s e s,k a m a l ð u l E n s e s
camaleón,k a m a l e ˈ o n,k a m a l e O n
camaleónicamente,k a m a l e ˈ o n i k a ˈ m e n̪ t e,k a m a l e O n i k a m E n̪ t e
camalotal,k a m a l o ˈ t a l,k a m a l o t A l
camanchaca,k a m a n ˈ t ʃ a k a,k a m a n t ʃ A k a
camanduleando,ˈ a n̪ d o,A n̪ d o
camandulear,k a m a n̪ d u l e ˈ a ɾ,k a m a n̪ d u l e A ɾ
camandulense,k a m a n̪ d u ˈ l e n s e,k a m a n̪ d u l E n s e
camandulenses,k a m a n̪ d u ˈ l e n s e s,k a m a n̪ d u l E n s e s
camanduleos,k a m a n̪ d u ˈ l e o s,k a m a n̪ d u l E o s
camandulera,k a m a n̪ d u ˈ l e ɾ a,k a m a n̪ d u l E ɾ a
camanduleras,k a m a n̪ d u ˈ l e ɾ a s,k a m a n̪ d u l E ɾ a s
camandulero,k a m a n̪ d u ˈ l e ɾ o,k a m a n̪ d u l E ɾ o
camanduleros,k a m a n̪ d u ˈ l e ɾ o s,k a m a n̪ d u l E ɾ o s
camandulería,k a m a n̪ d u l e ˈ ɾ i a,k a m a n̪ d u l e ɾ I a
camandulerías,k a m a n̪ d u l e ˈ ɾ i a s,k a m a n̪ d u l e ɾ I a s
camanonca,k a m a ˈ n o n k a,k a m a n O n k a
camarada,k a m a ˈ ɾ a ð a,k a m a ɾ A ð a
camaradas,k a m a ˈ ɾ a ð a s,k a m a ɾ A ð a s
camaradería,k a m a ɾ a ð e ˈ ɾ i a,k a m a ɾ a ð e ɾ I a
camaraje,k a m a ˈ ɾ a x e,k a m a ɾ A x e
camarera,k a m a ˈ ɾ e ɾ a,k a m a ɾ E ɾ a
camareras,k a m a ˈ ɾ e ɾ a s,k a m a ɾ E ɾ a s
camarero,k a m a ˈ ɾ e ɾ o,k a m a ɾ E ɾ o
camareros,k a m a ˈ ɾ e ɾ o s,k a m a ɾ E ɾ o s
camarico,k a m a ˈ ɾ i k o,k a m a ɾ I k o
camarilla,k a m a ˈ ɾ i ʝ a,k a m a ɾ I ʝ a
camarilla,k a m a ˈ ɾ i ʎ a,k a m a ɾ I ʎ a
camarines,k a m a ˈ ɾ i n e s,k a m a ɾ I n e s
camarista,k a m a ˈ ɾ i s t a,k a m a ɾ I s t a
camarlengo,k a m a ɾ ˈ l e ŋ g o,k a m a ɾ l E ŋ g o
camaroneando,ˈ a n̪ d o,A n̪ d o
camaronear,k a m a ɾ o n e ˈ a ɾ,k a m a ɾ o n e A ɾ
camaroneras,k a m a ɾ o ˈ n e ɾ a s,k a m a ɾ o n E ɾ a s
camaronero,k a m a ɾ o ˈ n e ɾ o,k a m a ɾ o n E ɾ o
camaroneros,k a m a ɾ o ˈ n e ɾ o s,k a m a ɾ o n E ɾ o s
camarones,k a m a ˈ ɾ o n e s,k a m a ɾ O n e s
camarógrafa,k a m a ˈ ɾ o ɣ ɾ a f a,k a m a ɾ O ɣ ɾ a f a
camarógrafas,k a m a ˈ ɾ o ɣ ɾ a f a s,k a m a ɾ O ɣ ɾ a f a s
camarógrafo,k a m a ˈ ɾ o ɣ ɾ a f o,k a m a ɾ O ɣ ɾ a f o
camarógrafos,k a m a ˈ ɾ o ɣ ɾ a f o s,k a m a ɾ O ɣ ɾ a f o s
camarón,k a m a ˈ ɾ o ŋ,k a m a ɾ O ŋ
camas,ˈ k a m a s,k A m a s
camba,ˈ k a m b a,k A m b a
cambaceo,k a m b a ˈ θ e o,k a m b a θ E o
cambaceo,k a m b a ˈ s e o,k a m b a s E o
cambalache,k a m b a ˈ l a t ʃ e,k a m b a l A t ʃ e
cambalacheando,ˈ a n̪ d o,A n̪ d o
cambalachero,k a m b a l a ˈ t ʃ e ɾ o,k a m b a l a t ʃ E ɾ o
cambalud,k a m b a ˈ l u ð,k a m b a l U ð
cambando,ˈ a n̪ d o,A n̪ d o
cambar,k a m ˈ b a ɾ,k a m b A ɾ
cambera,k a m ˈ b e r a,k a m b E r a
cambiadizo,k a m b j a ˈ ð i s o,k a m b j a ð I s o
cambiando,ˈ a n̪ d o,A n̪ d o
cambiante,k a m ˈ b j a n̪ t e,k a m b j A n̪ t e
cambiar,k a m ˈ b j a ɾ,k a m b j A ɾ
cambiare,k a m ˈ b j a ɾ e,k a m b j A ɾ e
cambiazo,k a m ˈ b j a s o,k a m b j A s o
cambiazo,k a m ˈ b j a θ o,k a m b j A θ o
cambiazos,k a m ˈ b j a θ o s,k a m b j A θ o s
cambiazos,k a m ˈ b j a s o s,k a m b j A s o s
cambios,ˈ k a m b j o s,k A m b j o s
cambista,k a ɱ ˈ b i s t a,k a ɱ b I s t a
camboyana,k a m b o ˈ ʝ a n a,k a m b o ʝ A n a
camboyanas,k a m b o ˈ ʝ a n a s,k a m b o ʝ A n a s
camboyano,k a m b o ˈ ʝ a n o,k a m b o ʝ A n o
cambronal,k a m β ɾ o ˈ n a l,k a m β ɾ o n A l
cambronera,k a m β ɾ o ˈ n e ɾ a,k a m β ɾ o n E ɾ a
cambuche,k a m ˈ b u t ʃ e,k a m b U t ʃ e
cambuj,k a m ˈ b u x,k a m b U x
cambur,k a m ˈ b u ɾ,k a m b U ɾ
camedrio,k a ˈ m e ð ɾ j o,k a m E ð ɾ j o
camelando,ˈ a n̪ d o,A n̪ d o
camelar,k a m e ˈ l a ɾ,k a m e l A ɾ
camellar,k a m e ˈ ʎ a ɾ,k a m e ʎ A ɾ
camellar,k a m e ˈ ʝ a ɾ,k a m e ʝ A ɾ
camello,ˈ k a ˈ m e ʝ o,k A m E ʝ o
camello,k a ˈ m e ʎ o,k a m E ʎ o
camellos,ˈ k a ˈ m e ʝ o s,k A m E ʝ o s
camellos,k a ˈ m e ʎ o s,k a m E ʎ o s
camelos,k a ˈ m e l o s,k a m E l o s
camembert,ˈ k a m e m b e ɾ t,k A m e m b e ɾ t
camena,k a ˈ m e n a,k a m E n a
cameo,k a ˈ m e o,k a m E o
camerunesa,k a m e ɾ u ˈ n e s a,k a m e ɾ u n E s a
camerunesas,k a m e ɾ u ˈ n e s a s,k a m e ɾ u n E s a s
cameruneses,k a m e ɾ u ˈ n e s e s,k a m e ɾ u n E s e s
camiando,ˈ a n̪ d o,A n̪ d o
camiar,k a ˈ m j a ɾ,k a m j A ɾ
camiaras,k a ˈ m j a ɾ a s,k a m j A ɾ a s
camilla,k a ˈ m i ʎ a,k a m I ʎ a
caminando,ˈ a n̪ d o,A n̪ d o
caminante,k a m i ˈ n a n̪ t e,k a m i n A n̪ t e
caminar,k a m i ˈ n a ɾ,k a m i n A ɾ
caminasen,k a m i ˈ n a s e n,k a m i n A s e n
caminata,k a m i ˈ n a t a,k a m i n A t a
camino,k a ˈ m i n o,k a m I n o
caminos,k a ˈ m i n o s,k a m I n o s
camiones,k a ˈ m j o n e s,k a m j O n e s
camioneta,k a m j o ˈ n e t a,k a m j o n E t a
camisa,k a ˈ m i s a,k a m I s a
camisas,k a ˈ m i s a s,k a m I s a s
camita,k a ˈ m i t a,k a m I t a
camión,k a ˈ m j o n,k a m j O n
camote,k a ˈ m o t e,k a m O t e
campamento,k a m p a ˈ m e n t o,k a m p a m E n t o
campamentos,k a m p a ˈ m e n̪ t o s,k a m p a m E n̪ t o s
campamocha,k a ɱ p a ˈ m o t ʃ a,k a ɱ p a m O t ʃ a
campana,k a m ˈ p a n a,k a m p A n a
campanario,k a m p a ˈ n a ɾ j o,k a m p a n A ɾ j o
campanarios,k a m p a ˈ n a ɾ j o s,k a m p a n A ɾ j o s
